word,frequency
clocks,1
running,1
paint,2
morning,2
phony,1
breaking,1
light,5
candle,1
curse,2
glare,1
draw,1
curtains,1
alright,6
survive,5
piece,3
gist,1
feel,2
silver,2
linings,1
touch,2
grey,2
lesson,2
ables,1
bakers,1
cs,1
abcs,2
face,4
deltas,1
freeze,1
arrears,1
dog,1
years,2
worse,2
appears,1
cows,1
giving,1
kerosene,1
seventeen,1
words,1
obscene,1
shoe,1
fits,1
whistle,1
teeth,1
suits,1
drinkin,1
biker,1
showed,1
picture,3
youll,2
chargin,1
chopper,1
carpeted,1
halls,1
contrast,1
proper,1
stumble,3
imagine,3
sipping,3
champagne,3
taste,3
elegant,3
pride,3
bucket,3
enjoying,19
yeah,7
softcore,1
pretender,1
baby,2
leather,1
chromespiked,1
suspenders,1
chain,1
whip,1
pets,1
youre,6
reincarnation,1
ravenous,1
great,1
ovations,1
zrated,2
scenes,2
create,2
analyze,1
pretend,1
despise,1
unable,3
crawl,3
circus,1
zoo,1
perfect,2
person,1
leaving,1
lonely,1
wouldnt,1
begin,2
snakes,3
marching,2
shaking,4
fear,3
tigers,1
punch,3
gloves,1
stainless,1
bats,1
carved,2
brick,1
knock,1
push,8
kick,1
shove,7
afraid,6
desert,1
wherefore,1
rattle,1
shotguns,1
bullets,1
string,1
barbed,1
wire,1
feet,2
pass,1
bedroom,1
covers,2
cringing,1
beneath,1
phantom,1
closet,1
scratching,1
door,3
latest,1
mystery,1
killer,1
channel,1
garden,1
grows,1
roses,1
nose,1
twist,1
slap,1
wrap,1
perfume,1
chateau,2
twenty,2
rooms,2
buy,1
minute,1
mistake,2
walking,2
street,2
today,3
didnt,1
couldnt,2
fade,5
highway,2
freeway,2
steady,2
job,2
moving,2
items,2
mob,2
pays,1
pathetic,1
boys,1
copacetic,1
girl,2
rule,1
treat,2
people,2
rails,1
smile,1
dozen,1
dreams,1
passing,1
count,2
trips,1
dollar,1
grade,1
hundred,6
thousand,6
tons,6
brakes,3
grades,3
steep,3
engines,3
blow,3
control,3
shes,4
roller,3
coaster,3
train,3
understatement,1
temperamental,1
bitch,1
machine,1
wasnt,1
built,1
travel,1
speed,1
mud,1
slides,1
wheels,1
bound,1
jump,1
tracks,1
stretch,1
track,1
luck,1
ridin,1
back,3
pray,1
god,1
aint,1
meet,1
dragging,1
slow,1
blue,3
spinning,4
dizzy,1
eternity,1
brush,1
clouds,1
peaceful,1
space,1
closer,1
reveals,1
human,2
waste,1
forget,1
hasnt,1
awake,1
singing,9
ashes,32
watch,1
revolves,1
nighttime,1
falls,1
begins,1
blood,1
calls,1
darkness,1
mens,1
(well,1
know),1
strolls,1
sidewalk,1
rolls,1
streets,1
staking,1
turf,1
dividing,1
meat,1
nightmare,1
spook,1
click,1
flash,1
blade,1
ghetto,1
rudys,1
fight,1
bones,4
feed,1
politicians,4
throwing,4
stones,5
commissars,1
pinstripe,1
bosses,1
guess,1
money,1
proletarian,1
selling,1
guns,1
food,1
kids,3
shake,3
heartless,1
spirits,1
sleeping,1
flesh,1
historys,1
neatly,1
futures,1
game,1
lost,1
left,2
blame,2
leave,2
empty,1
shining,1
shipping,1
powders,1
south,2
north,1
world,1
wars,1
fashions,1
lose,1
radical,1
rage,1
pants,1
blown,1
dizzying,1
possibilities,1
(ashes,4
down),4
pricks,1
fingers,1
hot,1
chills,1
bone,1
hear,1
singer,1
pillow,1
muddy,10
hits,1
mountain,1
stars,1
splatter,1
splits,1
horizon,1
scream,1
eagle,1
listen,1
ripples,1
moan,1
forever,2
deep,1
wide,1
strings,1
heart,1
start,1
tears,1
brother,6
esau,6
killed,1
1969,1
killing,1
inheritance,1
birthright,1
wave,1
weary,1
band,1
gave,1
sleeplessness,1
father,1
favoured,1
eager,1
obey,1
bloody,1
commandments,1
shot,1
favour,1
ended,1
failed,1
staggered,1
found,1
skates,1
mirrors,1
meets,1
pale,1
reflection,1
hairy,1
shadowboxing,4
apocalypse,4
wandering,3
holds,2
blessing,1
suspect,1
understand,3
silent,2
bloodied,1
hands,1
shadowdance,2
